epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.1454,0.3477,1.9354,0.5233,0.000120
2,1.9263,0.6416,0.9490,0.7733,0.000180
3,1.6891,0.7035,0.8277,0.7867,0.000240
4,1.6248,0.7172,0.7880,0.7900,0.000300
5,1.6333,0.7150,0.7481,0.8000,0.000300
6,1.5514,0.7406,0.7643,0.8067,0.000300
7,1.4846,0.7559,0.7963,0.7967,0.000299
8,1.4763,0.7620,0.6589,0.8367,0.000298
9,1.4376,0.7712,0.6535,0.8433,0.000296
10,1.3417,0.7931,0.6450,0.8633,0.000294
11,1.3815,0.7863,0.5452,0.8633,0.000291
12,1.3287,0.8036,0.5209,0.8633,0.000288
13,1.3094,0.8053,0.5568,0.8600,0.000285
14,1.3055,0.8049,0.5612,0.8467,0.000281
15,1.2757,0.8142,0.6378,0.8567,0.000276
16,1.2747,0.8156,0.5753,0.8500,0.000271
17,1.2352,0.8239,0.5425,0.8733,0.000266
18,1.2103,0.8316,0.6334,0.8600,0.000261
19,1.2116,0.8291,0.5392,0.8567,0.000255
20,1.1730,0.8383,0.5187,0.8800,0.000248
21,1.1051,0.8545,0.5564,0.8500,0.000242
22,1.1957,0.8359,0.5458,0.8633,0.000235
23,1.1950,0.8374,0.5358,0.8833,0.000228
24,1.1601,0.8420,0.5813,0.8667,0.000220
25,1.1089,0.8521,0.4998,0.8900,0.000213
26,1.1703,0.8398,0.4714,0.8800,0.000205
27,1.0833,0.8601,0.4612,0.9000,0.000197
28,1.1360,0.8496,0.4477,0.8900,0.000189
29,1.1115,0.8522,0.4433,0.8900,0.000180
30,1.0936,0.8565,0.4599,0.9033,0.000172
31,1.0928,0.8554,0.4817,0.9200,0.000163
32,1.1266,0.8500,0.4701,0.9100,0.000155
33,1.0743,0.8598,0.4801,0.9000,0.000146
34,1.0033,0.8754,0.4589,0.9100,0.000138
35,1.0359,0.8686,0.3958,0.9100,0.000129
36,1.0385,0.8703,0.4401,0.9033,0.000121
37,1.0073,0.8750,0.3840,0.9133,0.000112
38,1.0070,0.8768,0.3505,0.9267,0.000104
39,1.0334,0.8647,0.4060,0.9267,0.000096
40,1.0215,0.8712,0.3805,0.9200,0.000088
41,1.0317,0.8657,0.3722,0.9167,0.000081
42,0.9979,0.8755,0.4276,0.9167,0.000073
43,1.0081,0.8729,0.3998,0.9133,0.000066
44,0.9898,0.8757,0.4215,0.9233,0.000059
45,0.9758,0.8779,0.4361,0.9233,0.000053
46,0.9885,0.8742,0.3778,0.9133,0.000046
47,0.9791,0.8751,0.3698,0.9100,0.000040
48,0.9820,0.8736,0.3610,0.9167,0.000035
49,0.9298,0.8876,0.3586,0.9233,0.000030
50,0.9908,0.8732,0.4691,0.9200,0.000025
51,0.9224,0.8897,0.4267,0.9167,0.000020
52,0.9529,0.8805,0.3863,0.9267,0.000016
53,0.9401,0.8823,0.3483,0.9267,0.000013
54,0.9913,0.8666,0.3452,0.9200,0.000010
55,0.9680,0.8758,0.4262,0.9267,0.000007
56,0.9038,0.8924,0.4182,0.9267,0.000005
57,0.9104,0.8912,0.3673,0.9300,0.000003
58,0.9106,0.8915,0.3692,0.9267,0.000002
59,0.9531,0.8774,0.3819,0.9300,0.000001
60,0.9771,0.8738,0.3835,0.9267,0.000001
